Date,Open,High,Low,Close,Volume,funding_rate,funding_mean_3,funding_mean_14,funding_mean_30,funding_vol_3,funding_vol_14,funding_vol_30,funding_z_5,funding_z_20,funding_z_60,btc_vol_5,btc_vol_20,btc_vol_60,btc_rsi_7,btc_rsi_14,btc_rsi_28,btc_sma_10,btc_sma_50,btc_sma_200
2021-02-02,33517.09,35984.33,33418.0,35466.24,78056.65988,0.00203246,0.0015562733333333335,0.0010080957142857142,0.0018695713333333334,0.0004338528080274843,0.0006671082914826052,0.0013124635859033565,0.6824670976702399,0.8061176708458341,0.5688617635574312,0.639597634810869,0.9864541373589323,0.8727676817581587,65.71276454145666,48.81521209165879,51.84682250480557,33131.354999999996,31247.468600000004,17577.28455
2021-02-03,35472.71,37662.63,35362.38,37618.87,80784.333663,0.00233389,0.0018499200000000003,0.0010872114285714286,0.0017951193333333333,0.0005965665899964565,0.0007548782614522634,0.0012137858809695055,1.3460698075829658,1.1254008358709642,0.7954089541712696,0.7554559172421697,0.9998127176605749,0.880050795720249,87.80403898036585,55.46524073955089,51.05149114418113,33667.25199999999,31611.317399999996,17719.5275
2021-02-04,37620.26,38708.27,36161.95,36936.66,92080.735898,0.00165285,0.0020064,0.0011216835714285714,0.0017840783333333335,0.00034126707004925115,0.0007698327547601837,0.001213514219964375,-0.17101954102165726,0.42608908701340525,0.20313074279632473,0.8115662155000628,0.9646218025328316,0.8830656435103408,74.54501224569864,69.33492505906412,46.75174503146626,34135.49800000001,31923.3402,17858.16585
2021-02-05,36936.65,38310.12,36570.0,38290.24,66681.334275,0.00230627,0.0020976700000000003,0.0012649885714285714,0.0016988026666666667,0.0003854728789422165,0.0007915381669582665,0.0010711123444214212,0.831990638398834,1.0724611477053034,0.7322515359210364,0.6175775646851821,0.9714036389521566,0.8836608664220461,76.07791523404629,67.81895511948414,47.03172083982628,34717.745,32233.201799999995,18003.813149999998
2021-02-06,38289.32,40955.51,38215.94,39186.94,98757.311183,0.0020698,0.0020096400000000005,0.0013898442857142857,0.0016534956666666666,0.0003308380922747569,0.0007688569886397752,0.0010230719099399417,-0.03376287996388183,0.7337006372732858,0.5086185015950921,0.5991661585842446,0.9744056450140121,0.8726188235224706,78.53442401034106,73.65263045821061,48.84510329846389,35599.824,32554.792800000003,18152.79785
2021-02-07,39181.01,39700.0,37351.0,38795.69,84363.679763,0.00326873,0.002548266666666667,0.0015763564285714287,0.0016166356666666667,0.0006350433656320916,0.0008854286331368408,0.0009380427564466097,1.5884475969210272,1.830830512072368,1.4789962572188242,0.613792565328731,0.9728905774276009,0.8744131534534573,86.32470575045443,71.44689131497034,50.861513853040755,36142.907,32854.2744,18299.1855
2021-02-08,38795.69,46794.45,37988.89,46374.87,138597.536914,0.00366147,0.0030000000000000005,0.001763127857142857,0.0016464133333333334,0.0008291653676438744,0.0010292099732930235,0.0009886700595499868,1.2698534955925718,2.2116407319070728,1.7346842204621236,1.5210188176863035,1.2207978563774207,0.9626391303289002,92.84141424514519,80.95195091060121,62.96534679442186,37355.174,33312.6614,18483.0435
2021-02-09,46374.86,48142.19,44961.09,46420.42,115499.861712,0.00478857,0.003906256666666667,0.002081235714285714,0.0016996243333333334,0.0007889352258159952,0.0012237325320806536,0.0011102222864058792,1.430517281099562,2.543184725727156,2.4933688565847643,1.4590956146641856,1.2170377230866407,0.9608689853719775,91.80633687247146,80.81060443119796,65.08475584978095,38570.928,33786.6756,18667.456599999998
2021-02-10,46420.42,47310.0,43727.0,44807.58,97154.1822,0.0041206,0.004190213333333334,0.002354135714285714,0.0017631500000000002,0.0005667654846877459,0.0012219574873299634,0.001192213722184708,0.5297582372714844,1.72729086231515,1.8740780420001597,1.6208466966907982,1.033020698727889,0.9667387096369727,78.61449164139292,82.59352897444302,59.4628272070047,39742.388,34206.611399999994,18842.9924
2021-02-11,44807.58,48678.9,43994.02,47969.51,89561.081454,0.00333922,0.004082796666666667,0.002562464285714286,0.0018280153333333333,0.0007254141400836734,0.0011109029001029483,0.0012239109995581946,-0.7881210781544683,1.0385980162791237,1.2208216430654828,1.6453283690229992,1.0352463708746742,0.9757289241548713,86.67584600256363,82.72083451889407,60.846745795580674,41186.702000000005,34701.346399999995,19033.182249999998
2021-02-12,47968.66,48985.8,46125.0,47287.6,85870.035697,0.00359935,0.00368639,0.002646995,0.001912031,0.0003978952717738694,0.0011434424699984479,0.0012567809138439414,-0.5306038568150573,1.1179185697747516,1.3739648643686202,1.6576798291620831,1.0261281409404055,0.9781552303601633,81.3074486267964,79.47635677530135,63.53357077295073,42368.838,35172.5144,19214.47045
2021-02-13,47298.15,48150.0,46202.53,47153.69,63768.097399,0.0035755400000000003,0.0035047033333333332,0.002813222142857143,0.001958062,0.00014380639496675476,0.0010924976444275142,0.0012922753978088677,-0.532636277855776,0.9962903998120225,1.3095557431830112,0.7435396320507751,1.0289507769988926,0.9789935376630663,79.275379467415,78.98785015414497,64.5497467190784,43322.32,35621.3388,19395.70755
